"","year","site_name","updated_gridcode","total_area","area_whole_basin","percent_lulc"
"1",2010,"cb","20",2338782.54411106,22228468.0217202,10.5215642473686
"2",2010,"cb","30",4906435.05074759,22228468.0217202,22.0727539385681
"3",2010,"cb","40",11247016.2746878,22228468.0217202,50.5973522948048
"4",2010,"cb","70",3736234.15217373,22228468.0217202,16.8083295192585
"5",2010,"cr","20",17626939.1933139,33453008.3604084,52.6916413717079
"6",2010,"cr","30",309435.569815174,33453008.3604084,0.92498577850293
"7",2010,"cr","40",5815707.25948186,33453008.3604084,17.3847063224506
"8",2010,"cr","70",9700926.33779755,33453008.3604084,28.9986665273386
"9",2010,"sb","20",1052714.87753184,36455509.7500107,2.88767016220786
"10",2010,"sb","30",39575.1803369466,36455509.7500107,0.108557473502164
"11",2010,"sb","40",30727057.0837542,36455509.7500107,84.2864557222249
"12",2010,"sb","70",4636162.60838776,36455509.7500107,12.7173166420651
"13",2010,"tr104","20",6316280.14070567,12447556.8145646,50.74313164263
"14",2010,"tr104","30",245147.182916724,12447556.8145646,1.9694401605774
"15",2010,"tr104","40",2813527.07662075,12447556.8145646,22.6030466744181
"16",2010,"tr104","70",3072602.41432145,12447556.8145646,24.6843815223745
"17",2010,"tr109","20",1979669.84503461,9321767.87623178,21.2370643779092
"18",2010,"tr109","30",1466128.46059652,9321767.87623178,15.7280086788557
"19",2010,"tr109","40",2764732.75231564,9321767.87623178,29.658888625247
"20",2010,"tr109","70",3111236.81828502,9321767.87623178,33.376038317988
"21",2011,"cb","20",128618.580624756,22228468.0217095,0.578620985032077
"22",2011,"cb","30",2548323.71572921,22228468.0217095,11.464234571813
"23",2011,"cb","40",12501403.1629834,22228468.0217095,56.2405072215229
"24",2011,"cb","70",7050122.56237208,22228468.0217095,31.716637221632
"25",2011,"cr","20",13173966.5659715,33453008.3604014,39.3805137763503
"26",2011,"cr","30",7697050.44142993,33453008.3604014,23.00854487736
"27",2011,"cr","40",4476221.82918962,33453008.3604014,13.3806256853365
"28",2011,"cr","70",8105769.52381032,33453008.3604014,24.2303156609532
"29",2011,"sb","20",437291.357964362,36455509.7500051,1.19952062380447
"30",2011,"sb","30",2195679.54138707,36455509.7500051,6.02290176833081
"31",2011,"sb","40",30403320.1997095,36455509.7500051,83.3984229220804
"32",2011,"sb","70",3419218.65094417,36455509.7500051,9.37915468578433
"33",2011,"tr104","20",3612903.3474791,12447556.8145583,29.0249998558235
"34",2011,"tr104","30",3375447.86077675,12447556.8145583,27.1173525139401
"35",2011,"tr104","40",2677871.10226095,12447556.8145583,21.5132265886024
"36",2011,"tr104","70",2781334.50404153,12447556.8145583,22.3444210416341
"37",2011,"tr109","20",1982913.86110948,9321767.8762293,21.2718648161788
"38",2011,"tr109","30",4447979.86794781,9321767.8762293,47.7160547978271
"39",2011,"tr109","40",1551356.63967703,9321767.8762293,16.6423006909776
"40",2011,"tr109","70",1339517.50749497,9321767.8762293,14.3697796950166
"41",2012,"cb","20",1354943.57888708,22228468.0217186,6.09553288856083
"42",2012,"cb","30",2472321.92516954,22228468.0217186,11.1223226123993
"43",2012,"cb","40",10601191.9944016,22228468.0217186,47.6919596260235
"44",2012,"cb","70",7800010.52326038,22228468.0217186,35.0901848730164
"45",2012,"cr","20",18104002.8390317,33453008.3604126,54.1177123563436
"46",2012,"cr","30",1149629.16943346,33453008.3604126,3.43654943390355
"47",2012,"cr","40",3427973.34303513,33453008.3604126,10.24713026136
"48",2012,"cr","70",10771403.0089123,33453008.3604126,32.1986079483928
"49",2012,"sb","20",685047.572464109,36455509.750019,1.87913316028657
"50",2012,"sb","30",5561.28028324712,36455509.750019,0.0152549787984907
"51",2012,"sb","40",30776582.9552645,36455509.750019,84.4223086340152
"52",2012,"sb","70",4988317.94200709,36455509.750019,13.6833032268997
"53",2012,"tr104","20",5815840.28844528,12447556.8145537,46.7227454760069
"54",2012,"tr104","30",206521.117927247,12447556.8145537,1.65912974733951
"55",2012,"tr104","40",2347873.14221371,12447556.8145537,18.8621203115825
"56",2012,"tr104","70",4077322.26596747,12447556.8145537,32.7560044650711
"57",2012,"tr109","20",2599816.89429661,9321767.87622855,27.889740753215
"58",2012,"tr109","30",3773126.92558833,9321767.87622855,40.4765166402629
"59",2012,"tr109","40",820160.771287835,9321767.87622855,8.79833935126542
"60",2012,"tr109","70",2128663.28505577,9321767.87622855,22.8354032552567
"61",2013,"cb","20",935801.834914246,22228468.021716,4.20992501147635
"62",2013,"cb","30",2546650.04168317,22228468.021716,11.4567051548277
"63",2013,"cb","40",10232382.2706814,22228468.021716,46.032782199317
"64",2013,"cb","70",8513633.87443725,22228468.021716,38.3005876343789
"65",2013,"cr","20",20047715.6529021,33453008.3604115,59.9279904423385
"66",2013,"cr","30",539246.078970283,33453008.3604115,1.61195092877934
"67",2013,"cr","40",3696525.44242672,33453008.3604115,11.0499043990352
"68",2013,"cr","70",9169521.18611238,33453008.3604115,27.4101542298469
"69",2013,"sb","20",1314472.9076932,36455509.7500116,3.60569065336627
"70",2013,"sb","30",1394683.50670478,36455509.7500116,3.82571390790754
"71",2013,"sb","40",29916686.8347401,36455509.7500116,82.0635537395841
"72",2013,"sb","70",3829666.50087354,36455509.7500116,10.5050416991421
"73",2013,"tr104","20",6351974.36398898,12447556.8145621,51.0298885043688
"74",2013,"tr104","30",109980.43031283,12447556.8145621,0.883550338040365
"75",2013,"tr104","40",2324775.63019236,12447556.8145621,18.6765617126782
"76",2013,"tr104","70",3660826.39006789,12447556.8145621,29.4099994449127
"77",2013,"tr109","20",3659507.03089268,9321767.87623774,39.2576502598953
"78",2013,"tr109","30",2624773.02420705,9321767.87623774,28.1574596048234
"79",2013,"tr109","40",948073.629259651,9321767.87623774,10.1705346222619
"80",2013,"tr109","70",2089414.19187836,9321767.87623774,22.4143555130194
"81",2014,"cb","20",910675.498137714,22228468.0217194,4.09688826619943
"82",2014,"cb","30",5612299.22777908,22228468.0217194,25.2482502271201
"83",2014,"cb","40",10584689.1766107,22228468.0217194,47.6177178124396
"84",2014,"cb","70",5120804.11919186,22228468.0217194,23.0371436942408
"85",2014,"cr","20",17511850.8634119,33453008.3604129,52.3476115353943
"86",2014,"cr","30",4823055.24682079,33453008.3604129,14.4174036453123
"87",2014,"cr","40",5795580.11256099,33453008.3604129,17.324540890676
"88",2014,"cr","70",5322522.1376192,33453008.3604129,15.9104439286175
"89",2014,"sb","20",1124462.30726578,36455509.7499974,3.08447835451226
"90",2014,"sb","30",1783931.46476133,36455509.7499974,4.89344814266781
"91",2014,"sb","40",30345263.3146833,36455509.7499974,83.2391688465841
"92",2014,"sb","70",3201852.66328704,36455509.7499974,8.78290465623586
"93",2014,"tr104","20",3780746.75435346,12447556.8145709,30.373404280652
"94",2014,"tr104","30",2416978.93328936,12447556.8145709,19.4172958540755
"95",2014,"tr104","40",3540220.99139843,12447556.8145709,28.4410912449447
"96",2014,"tr104","70",2709610.1355296,12447556.8145709,21.7682086203277
"97",2014,"tr109","20",3819888.72092953,9321767.87624423,40.9781574873174
"98",2014,"tr109","30",2767018.81302696,9321767.87624423,29.6834125217651
"99",2014,"tr109","40",590037.392998835,9321767.87624423,6.32967266329917
"100",2014,"tr109","70",2144822.94928891,9321767.87624423,23.0087573276183
"101",2015,"cb","20",2707281.38514436,22228468.0217196,12.1793430950754
"102",2015,"cb","30",6611468.24204569,22228468.0217196,29.7432474230143
"103",2015,"cb","40",8254821.75682174,22228468.0217196,37.1362603520669
"104",2015,"cb","70",4654896.63770785,22228468.0217196,20.9411491298433
"105",2015,"cr","20",19493408.7880068,33453008.3604102,58.2710187914706
"106",2015,"cr","30",987871.536956533,33453008.3604102,2.95301255514474
"107",2015,"cr","40",3446051.16141181,33453008.3604102,10.3011697013475
"108",2015,"cr","70",9525676.87403502,33453008.3604102,28.4747989520373
"109",2015,"sb","20",857114.013266323,36455509.7500093,2.35112338064647
"110",2015,"sb","30",220959.71718956,36455509.7500093,0.6061078797273
"111",2015,"sb","40",30902900.0383068,36455509.7500093,84.7688051825935
"112",2015,"sb","70",4474535.98124664,36455509.7500093,12.2739635570327
"113",2015,"tr104","20",5948502.71692841,12447556.8145653,47.7885162971729
"114",2015,"tr104","30",829072.896697224,12447556.8145653,6.66052711426146
"115",2015,"tr104","40",2606510.06347594,12447556.8145653,20.9399330511669
"116",2015,"tr104","70",3063471.13746375,12447556.8145653,24.6110235373988
"117",2015,"tr109","20",5148931.34071646,9321767.87623669,55.2355669984259
"118",2015,"tr109","30",1584451.99651306,9321767.87623669,16.9973337412981
"119",2015,"tr109","40",874272.09950836,9321767.87623669,9.37882289192245
"120",2015,"tr109","70",1714112.43949881,9321767.87623669,18.3882763683536
"121",2016,"cb","20",1689556.55600882,22228468.0217101,7.60086819459921
"122",2016,"cb","30",7873501.17522246,22228468.0217101,35.4207998838812
"123",2016,"cb","40",7008160.12954904,22228468.0217101,31.5278593320256
"124",2016,"cb","70",5657250.16092977,22228468.0217101,25.450472589494
"125",2016,"cr","20",18065267.4272251,33453008.3604016,54.0019218379445
"126",2016,"cr","30",2321728.48963235,33453008.3604016,6.94026816548012
"127",2016,"cr","40",2441133.92273433,33453008.3604016,7.29720297928094
"128",2016,"cr","70",10624878.5208098,33453008.3604016,31.7606070172944
"129",2016,"sb","20",841794.061035707,36455509.7500064,2.30909968563959
"130",2016,"sb","30",75220.3249645919,36455509.7500064,0.206334585582303
"131",2016,"sb","40",30524897.845289,36455509.7500064,83.7319188638794
"132",2016,"sb","70",5013597.51871708,36455509.7500064,13.7526468648987
"133",2016,"tr104","20",5760120.71254285,12447556.8145633,46.2751108378447
"134",2016,"tr104","30",428194.892911455,12447556.8145633,3.4399914721456
"135",2016,"tr104","40",2134995.81862066,12447556.8145633,17.1519266826946
"136",2016,"tr104","70",4124245.39048832,12447556.8145633,33.1329710073151
"137",2016,"tr109","20",4415352.82541084,9321767.87623454,47.3660456260405
"138",2016,"tr109","30",1892158.26863005,9321767.87623454,20.2982770409252
"139",2016,"tr109","40",716896.503808515,9321767.87623454,7.69056377853189
"140",2016,"tr109","70",2297360.27838513,9321767.87623454,24.6451135545024
"141",2017,"cb","20",3399814.11919142,22228468.0217231,15.2948647467244
"142",2017,"cb","30",6289073.98141063,22228468.0217231,28.292880891587
"143",2017,"cb","40",8208790.38485309,22228468.0217231,36.9291773811444
"144",2017,"cb","70",4330789.53626796,22228468.0217231,19.4830769805442
"145",2017,"cr","20",16698421.5455834,33453008.3604001,49.9160534851932
"146",2017,"cr","30",5236310.38858561,33453008.3604001,15.6527339250723
"147",2017,"cr","40",4263903.4997474,33453008.3604001,12.7459493442592
"148",2017,"cr","70",7254372.92648359,33453008.3604001,21.6852632454752
"149",2017,"sb","20",941566.945357407,36455509.7499955,2.58278365002844
"150",2017,"sb","30",190355.455336883,36455509.7499955,0.522158259868814
"151",2017,"sb","40",30754847.2811745,36455509.7499955,84.3626861675642
"152",2017,"sb","70",4568740.06812675,36455509.7499955,12.5323719225386
"153",2017,"tr104","20",4988017.49015812,12447556.8145602,40.0722612836241
"154",2017,"tr104","30",1506426.39634875,12447556.8145602,12.1021853428027
"155",2017,"tr104","40",2731437.14078473,12447556.8145602,21.9435603426184
"156",2017,"tr104","70",3221675.78726862,12447556.8145602,25.8819930309548
"157",2017,"tr109","20",5087759.83450413,9321767.87623852,54.5793448415831
"158",2017,"tr109","30",1304019.34294331,9321767.87623852,13.9889703354156
"159",2017,"tr109","40",1136990.54879848,9321767.87623852,12.1971557744611
"160",2017,"tr109","70",1792998.14999259,9321767.87623852,19.2345290485403
"161",2018,"cb","20",7935511.20043681,22228468.0217195,35.6997665906755
"162",2018,"cb","30",3753136.65193971,22228468.0217195,16.8843693963638
"163",2018,"cb","40",8442458.43814976,22228468.0217195,37.9803881666546
"164",2018,"cb","70",2097361.73119321,22228468.0217195,9.43547584630606
"165",2018,"cr","20",21344670.0807246,33453008.3603978,63.8049345241931
"166",2018,"cr","30",1379242.77692388,33453008.3603978,4.12292599237996
"167",2018,"cr","40",5829145.8141761,33453008.3603978,17.4248777609991
"168",2018,"cr","70",4899949.68857313,33453008.3603978,14.6472617224279
"169",2018,"sb","20",2729038.97992424,36455509.7499936,7.48594382204385
"170",2018,"sb","30",37396.3938995639,36455509.7499936,0.102580910693672
"171",2018,"sb","40",31130443.1583548,36455509.7499936,85.3929717945043
"172",2018,"sb","70",2558631.21781501,36455509.7499936,7.01850347275821
"173",2018,"tr104","20",7502970.11152553,12447556.8145564,60.2766488500892
"174",2018,"tr104","30",53931.5014375592,12447556.8145564,0.433269775274217
"175",2018,"tr104","40",3183000.250192,12447556.8145564,25.571285173567
"176",2018,"tr104","70",1707654.95140135,12447556.8145564,13.7187962010696
"177",2018,"tr109","20",6697906.33903143,9321767.87622815,71.8523184439301
"178",2018,"tr109","30",482655.159693315,9321767.87622815,5.17772128744114
"179",2018,"tr109","40",1251301.09677251,9321767.87622815,13.4234311923118
"180",2018,"tr109","70",889905.280730895,9321767.87622815,9.54652907631696
"181",2019,"cb","20",6919133.14917607,22228468.021715,31.1273504877474
"182",2019,"cb","30",3532228.50683463,22228468.021715,15.8905620638544
"183",2019,"cb","40",7643410.75315109,22228468.021715,34.3856839152579
"184",2019,"cb","70",4133695.61255317,22228468.021715,18.5964035331403
"185",2019,"cr","20",19582485.1193068,33453008.3603996,58.537291798509
"186",2019,"cr","30",1750562.51847371,33453008.3603996,5.23290013147505
"187",2019,"cr","40",5379667.06336928,33453008.3603996,16.0812654138978
"188",2019,"cr","70",6740293.65924988,33453008.3603996,20.1485426561181
"189",2019,"sb","20",1573663.64545729,36455509.7500174,4.31666888283338
"190",2019,"sb","30",952334.297578166,36455509.7500174,2.61231924641435
"191",2019,"sb","40",31229332.5610286,36455509.7500174,85.6642323071993
"192",2019,"sb","70",2700179.24595336,36455509.7500174,7.40677956355299
"193",2019,"tr104","20",5787290.04834515,12447556.8145626,46.4933812679973
"194",2019,"tr104","30",168095.48702686,12447556.8145626,1.35042956245199
"195",2019,"tr104","40",3377855.98969344,12447556.8145626,27.1366987113619
"196",2019,"tr104","70",3114315.28949712,12447556.8145626,25.0194904581889
"197",2019,"tr109","20",5998039.70824111,9321767.87623893,64.3444439710845
"198",2019,"tr109","30",174759.415384677,9321767.87623893,1.87474540993599
"199",2019,"tr109","40",1389300.92421897,9321767.87623893,14.9038352237914
"200",2019,"tr109","70",1759667.82839417,9321767.87623893,18.8769753951881
